Robert
Gesink
TDF2018
Stage12
15
long	lat	elev
6.368529	45.427438	1988
6.371151	45.425942	1960.6
6.37402	45.425782	1936
6.371537	45.425175	1918
6.368547	45.425021	1898.4
6.366038	45.424362	1878.6
6.364085	45.425283	1859.4
6.36128	45.424496	1837
6.3598	45.423001	1814.8
6.362258	45.423464	1796.8
6.364052	45.422008	1777.4
6.365865	45.421276	1757
6.36503	45.419258	1735.2
6.363465	45.416974	1710
6.362168	45.41662	1690.6
6.359899	45.417088	1669.2
6.360305	45.415924	1648.8
6.356867	45.415338	1622.2
6.353922	45.41369	1595.6
6.351088	45.41291	1569.4
6.352292	45.414026	1554.8
6.349849	45.412919	1533.4
6.347851	45.410846	1507.2
6.34623	45.408881	1483.2
6.345575	45.406808	1469.8
6.34485	45.408176	1460.4
6.343666	45.405822	1437.8
6.343047	45.403695	1409.8
6.341157	45.40205	1384.6
6.339323	45.400337	1358.4
6.33747	45.398478	1333.4
6.337559	45.399709	1321
6.336294	45.39782	1304.2
6.335996	45.395212	1282.8
6.335212	45.393048	1262
6.33469	45.39314	1248.4
6.335918	45.392319	1234.2
6.336574	45.390373	1213.8
6.336895	45.387955	1184
6.333368	45.38765	1155.6
6.331045	45.38644	1130.4
6.331774	45.384774	1105.2
6.330135	45.384978	1087.4
6.330063	45.384539	1072.2
6.330132	45.38414	1056.6
6.327733	45.384347	1042.6
6.3292	45.382947	1026.8
6.328366	45.380709	1004.2
6.325478	45.379245	981.8
6.324353	45.377225	961.6
6.32341	45.374506	931.4
6.323939	45.37219	906.8
6.322687	45.373319	888.8
6.321131	45.374103	868.8
6.321844	45.37184	846.4
6.320501	45.369415	817
6.320446	45.366996	788.6
6.319009	45.368707	768.8
6.318101	45.369184	750
6.317912	45.367739	734.4
6.316716	45.36893	718.6
6.316272	45.367314	700.4
6.315681	45.367168	687
6.316667	45.364985	669.6
6.314066	45.364056	650.6
6.310128	45.364168	621.6
6.306534	45.363323	596.8
6.303555	45.361706	578.8
6.300666	45.360322	564.6
6.299682	45.359138	556.6
6.300955	45.357616	556.6
6.302396	45.355833	549.6
6.302787	45.353646	540.8
6.304554	45.351971	534.4
6.306223	45.350536	533.2
6.30608	45.34925	539.2
6.306587	45.347641	539.2
6.307504	45.34589	539.2
6.308516	45.344241	539.2
6.309513	45.342544	540.2
6.310452	45.340912	541.4
6.311307	45.339461	541.4
6.312169	45.338012	543.4
6.313093	45.336422	545.6
6.313928	45.334989	546.8
6.314766	45.333563	548.8
6.315696	45.332216	551
6.316722	45.330907	552
6.317728	45.329571	553
6.318692	45.328135	554.2
6.31945	45.326586	556.2
6.319951	45.325006	558.2
6.320425	45.323453	559.4
6.320952	45.321972	561.4
6.321256	45.320525	563.6
6.323165	45.320003	566
6.324893	45.319424	566
6.326558	45.318748	568
6.328405	45.31775	569.2
6.330501	45.316703	571.2
6.332418	45.315903	573.4
6.334324	45.315138	575.6
6.336198	45.314065	578.6
6.338153	45.313103	581
6.340014	45.313103	582
6.340038	45.313701	588.8
6.33877	45.314562	590
6.337701	45.315286	594.4
6.338265	45.31582	603.2
6.338961	45.316304	610.6
6.338797	45.316696	618
6.337677	45.316839	624.2
6.336787	45.316915	631.6
6.337109	45.317064	639.2
6.338235	45.316921	645
6.337684	45.317102	651.6
6.336816	45.317259	660.6
6.336672	45.317344	667
6.337431	45.317374	672.6
6.337477	45.31745	677.2
6.336715	45.317506	683.6
6.337458	45.317584	689.6
6.33838	45.317461	694.6
6.338131	45.31753	699.6
6.337254	45.317747	706.4
6.336784	45.317888	713.4
6.337672	45.317813	719.8
6.33832	45.317809	725.8
6.337498	45.31799	733
6.337548	45.318058	740.4
6.338169	45.318016	744.6
6.337252	45.318205	751.4
6.337369	45.318261	759.2
6.337951	45.318313	765.8
6.337007	45.318449	774.4
6.337599	45.31846	781
6.338272	45.318372	786
6.337464	45.318581	794.2
6.337456	45.318686	801.4
6.337638	45.318761	807.2
6.337645	45.318845	813.4
6.338246	45.318623	819.4
6.339043	45.318456	825.8
6.339825	45.3188	831.4
6.340687	45.31872	838.2
6.341619	45.318621	845
6.342639	45.318748	850.8
6.342199	45.319317	855.4
6.341545	45.319846	862.4
6.342382	45.320066	868.2
6.343605	45.320203	874.2
6.345266	45.320208	879
6.347106	45.320072	882.8
6.349396	45.32088	874.2
6.34912	45.319356	862.4
6.348926	45.317221	847.2
6.349605	45.315618	833.8
6.350018	45.313723	819.4
6.351763	45.312997	817.2
6.352954	45.312277	824
6.353302	45.31151	832
6.353739	45.310739	838.4
6.354369	45.310133	845.2
6.3551	45.309628	851.4
6.355624	45.308984	858
6.356215	45.308279	864.6
6.357696	45.307709	866.8
6.359233	45.306813	866.8
6.360765	45.306157	869
6.363183	45.305452	862.2
6.365715	45.304084	846
6.367572	45.302313	824.4
6.368748	45.300874	803.6
6.366824	45.302201	787.2
6.363757	45.303209	764.4
6.365441	45.302199	746.8
6.364843	45.302125	732.6
6.3626	45.301356	716.8
6.364469	45.300569	700.4
6.364799	45.298792	682.4
6.361741	45.298355	662.8
6.359066	45.297697	644
6.357576	45.296393	628.4
6.356861	45.294612	617.4
6.354542	45.294072	613
6.352475	45.293392	610.8
6.352934	45.291781	607.6
6.35303	45.290048	607.6
6.352955	45.288433	608.6
6.352733	45.286917	609.8
6.351566	45.285684	612
6.349895	45.283971	615.2
6.34867	45.282722	622
6.347762	45.281755	628.2
6.346937	45.280885	634.4
6.346034	45.279929	640.6
6.345117	45.279028	646.2
6.344193	45.278102	652.2
6.344319	45.277247	658.4
6.345818	45.276287	660.6
6.347219	45.274974	660.6
6.346859	45.274026	661.6
6.345925	45.273409	668.4
6.34512	45.272813	676.4
6.344157	45.27233	682.8
6.343104	45.272279	689.4
6.342208	45.272313	696.4
6.341238	45.27241	703
6.340369	45.27225	709.6
6.339863	45.271677	716.4
6.339477	45.271079	722.6
6.339008	45.270364	730.2
6.338568	45.26999	737
6.338325	45.270664	745.4
6.337551	45.270966	753.4
6.336722	45.270933	761.6
6.336349	45.270259	768.2
6.336149	45.26958	775
6.33563	45.26894	780.2
6.33452	45.268361	783.6
6.333636	45.267826	788.4
6.332669	45.267533	794.6
6.331733	45.267293	800.8
6.330964	45.266919	807.6
6.330564	45.2662	814.2
6.330163	45.26551	822.8
6.329669	45.264934	830.6
6.329092	45.264329	837.8
6.328567	45.26378	845.4
6.328134	45.263109	852.2
6.3276	45.262535	860
6.326943	45.261977	868.8
6.32625	45.261413	876.6
6.325559	45.260876	884.2
6.324831	45.260439	892
6.324049	45.259929	901.2
6.323275	45.259466	908.8
6.322556	45.258905	917.2
6.321913	45.258408	924.6
6.321203	45.257895	932.2
6.320477	45.257442	939.6
6.319815	45.256878	948.4
6.319277	45.256365	955.2
6.318619	45.255829	963.6
6.318211	45.255273	969
6.318491	45.254363	973.4
6.317341	45.253436	976.8
6.317062	45.25185	968.2
6.315885	45.250388	953
6.315506	45.248841	949.6
6.31601	45.247328	947.6
6.317349	45.246415	950.8
6.316677	45.24519	950.6
6.315995	45.243355	944.6
6.31616	45.241447	937.4
6.314473	45.239666	921.4
6.310957	45.239508	907
6.310469	45.238493	908
6.311427	45.238283	917.2
6.312369	45.238291	924
6.313135	45.238098	930.4
6.31297	45.237648	937.8
6.312545	45.23717	944
6.312308	45.236568	950
6.312389	45.235898	956
6.312235	45.235275	962
6.312027	45.234643	968.8
6.311669	45.234062	975.4
6.311618	45.233539	982.2
6.31162	45.232986	988.8
6.311235	45.232516	996.6
6.310996	45.231962	1003.4
6.310586	45.231571	1010.4
6.310148	45.231212	1017.2
6.310469	45.230734	1023.6
6.310324	45.230142	1029.4
6.309923	45.229713	1036.2
6.310099	45.229244	1042.4
6.310334	45.228802	1048.8
6.310317	45.228304	1054.8
6.309905	45.227888	1060.8
6.309764	45.227389	1065.4
6.310024	45.226938	1070.4
6.31043	45.226448	1076
6.31078	45.225882	1081.6
6.310261	45.225242	1086.4
6.309543	45.224812	1091.2
6.30869	45.224239	1096
6.308421	45.223442	1100.6
6.308148	45.223665	1106.2
6.308388	45.224291	1112.4
6.308933	45.22488	1118.8
6.309387	45.225468	1125.2
6.3095	45.226041	1130.8
6.309003	45.226461	1135.6
6.308411	45.226918	1141.4
6.308299	45.227591	1147.2
6.307887	45.228106	1153.2
6.307421	45.228548	1159.4
6.306875	45.228645	1165.8
6.306307	45.228757	1172
6.306381	45.229205	1177.4
6.306186	45.229628	1183.4
6.305609	45.229926	1189.8
6.306159	45.230424	1195.4
6.305971	45.230982	1200
6.305448	45.231346	1205.8
6.305223	45.2319	1211.2
6.305031	45.232467	1217
6.305103	45.233082	1222.6
6.304868	45.232961	1228.6
6.304613	45.232386	1235
6.304535	45.231812	1242
6.304375	45.231267	1248.8
6.304696	45.230721	1255.6
6.304555	45.230185	1263.4
6.304162	45.229754	1270
6.303458	45.229588	1277
6.303719	45.229196	1283.4
6.303898	45.228803	1290
6.303403	45.228398	1296.2
6.302638	45.228099	1303
6.303046	45.227652	1310.8
6.303732	45.227301	1317.2
6.304029	45.226806	1324
6.304146	45.22624	1331.2
6.304025	45.22558	1339
6.303668	45.225005	1345.6
6.303801	45.224392	1351.6
6.304044	45.22365	1356.2
6.303636	45.223045	1362.8
6.303898	45.222251	1367.6
6.303695	45.221725	1373
6.304515	45.220821	1377.8
6.305235	45.220474	1382.4
6.305695	45.219479	1384.6
6.305524	45.218063	1385.6
6.305899	45.216283	1386.6
6.306031	45.214966	1385.4
6.306185	45.213986	1383.2
6.306633	45.210579	1379.8
6.307847	45.209519	1379.8
6.309033	45.208635	1383.2
6.308601	45.207322	1385.6
6.307959	45.205677	1382.2
6.306917	45.204141	1376.2
6.306236	45.202373	1370.6
6.303343	45.201691	1360.4
6.302745	45.199596	1346.4
6.302577	45.198022	1336.6
6.301198	45.197016	1324.4
6.29914	45.195984	1319.8
6.298079	45.194808	1318.8
6.296856	45.193732	1322
6.295209	45.193371	1329.6
6.294076	45.193051	1335.8
6.293237	45.192585	1341
6.291845	45.192468	1347.2
6.290551	45.192899	1353
6.289508	45.192304	1357.8
6.288191	45.192275	1362.4
6.286852	45.192753	1366.8
6.285618	45.192694	1372.6
6.284696	45.193442	1378.4
6.284042	45.194388	1384.4
6.283004	45.19519	1390.2
6.28207	45.19575	1396.4
6.281793	45.196496	1401
6.280938	45.196951	1407
6.280039	45.197252	1413.6
6.279542	45.197785	1419.8
6.278809	45.19816	1426
6.278046	45.198618	1432
6.277274	45.199162	1438.4
6.276554	45.199659	1444.2
6.275688	45.200321	1449
6.274516	45.201056	1453.4
6.272575	45.200944	1455.6
6.270778	45.201347	1460.4
6.269423	45.201705	1467.8
6.268603	45.202269	1475.2
6.267776	45.202908	1481.2
6.266909	45.203357	1487.6
6.266072	45.203792	1494.6
6.265699	45.204485	1501.4
6.265089	45.20524	1507.4
6.264405	45.205947	1512
6.263414	45.206502	1516.8
6.262749	45.207589	1520
6.261848	45.208591	1523.4
6.260559	45.208998	1529.4
6.259128	45.209495	1535.2
6.25783	45.21039	1538.4
6.25663	45.211349	1540.6
6.255011	45.212096	1542.8
6.253732	45.212512	1549.2
6.252729	45.213027	1555
6.252332	45.213856	1560.6
6.252092	45.214624	1566.4
6.251168	45.214973	1573
6.250178	45.215007	1579
6.249239	45.215213	1585.4
6.248403	45.215959	1589.8
6.247343	45.216823	1592
6.246326	45.217363	1596.6
6.245334	45.217638	1602.8
6.244101	45.217871	1607.6
6.242954	45.218543	1612.6
6.24156	45.219133	1614.6
6.2403	45.219762	1618.2
6.239006	45.220137	1622.6
6.237655	45.220398	1627.4
6.236404	45.220852	1632
6.234821	45.221078	1635.4
6.233188	45.221364	1636.4
6.231375	45.221392	1637.6
6.229905	45.221427	1641.2
6.228861	45.221449	1647.4
6.228001	45.221406	1653.8
6.227194	45.221369	1661
6.226532	45.22112	1667.8
6.225737	45.221063	1674.6
6.224924	45.221081	1681
6.224124	45.221033	1687.2
6.223632	45.220413	1693.8
6.223248	45.220706	1700.4
6.222931	45.221228	1707.2
6.222901	45.221731	1713.4
6.22377	45.221998	1719
6.2229	45.222091	1722.8
6.22211	45.221955	1727.6
6.221528	45.221635	1733.4
6.22072	45.221447	1739.2
6.220131	45.221049	1746.8
6.219426	45.220788	1754
6.218546	45.220551	1762.6
6.217755	45.220347	1770.2
6.21719	45.219838	1776.2
6.21722	45.220381	1782.4
6.217215	45.220947	1790.6
6.216754	45.221415	1797.4
6.216435	45.221894	1803.6
6.216051	45.222434	1810.4
6.215972	45.223065	1816.8
6.216174	45.223593	1823.4
6.216487	45.224209	1829.8
6.216826	45.224726	1834.4
6.216991	45.225136	1840.6
6.216189	45.224631	1846.2
6.215441	45.224155	1850.8
6.214569	45.223995	1856.6
6.213847	45.22357	1862.6
6.21322	45.22302	1868.6
6.21264	45.222395	1874.6
6.212378	45.22179	1880.6
6.212329	45.221269	1886
6.211953	45.22179	1890.6
6.211697	45.222427	1894.8
6.211726	45.222999	1897
6.211941	45.223535	1900.4
6.212495	45.224076	1905.2
6.213155	45.224576	1909.6
6.213611	45.225047	1915.4
6.213924	45.225574	1918.6
6.214342	45.226178	1923
6.214846	45.226733	1928.6
6.215365	45.227214	1934
6.2161	45.227603	1939.4
6.216751	45.227955	1945
6.215756	45.227662	1949.6
6.214973	45.227354	1955
6.213962	45.22687	1961
6.213173	45.226318	1968.6
