Romain
Bardet
TDF2018
Stage19
60
long	lat	elev
-0.32323	42.971436	1541
-0.325363	42.972519	1568
-0.329767	42.97168	1589
-0.33268	42.973911	1620
-0.336675	42.975185	1648
-0.340225	42.976376	1674
-0.345107	42.97583	1608
-0.34464	42.970436	1539
-0.334973	42.966286	1452
-0.332717	42.958488	1357
-0.338838	42.964615	1273
-0.343282	42.963264	1166
-0.34657	42.964134	1088
-0.360793	42.966431	989
-0.372693	42.967472	877
-0.382323	42.969906	822
-0.38989	42.972771	757
-0.402032	42.974632	687
-0.414112	42.977589	629
-0.416455	42.978416	579
-0.419317	42.978271	534
-0.426075	42.982342	519
-0.426375	42.987778	528
-0.422297	42.992661	506
-0.420367	42.997494	492
