Thomas
DeGendt 
TDF2018
Stage17
30
long	lat	elev
0.280335	42.827564	1366
0.27921	42.827587	1375
0.278122	42.827377	1384
0.277033	42.827164	1393
0.27591	42.827003	1403
0.274753	42.827011	1411
0.273578	42.826817	1421
0.272573	42.826374	1429
0.271508	42.826099	1438
0.269485	42.82592	1443
0.26988	42.825275	1448
0.26829	42.825172	1459
0.266955	42.825123	1468
0.26555	42.825519	1475
0.265802	42.826073	1483
0.264862	42.826172	1493
0.266237	42.826652	1502
0.267457	42.827034	1511
0.268795	42.827435	1520
0.269807	42.827961	1529
0.271053	42.828369	1538
0.272273	42.82872	1548
0.273345	42.829281	1556
0.274403	42.829876	1564
0.27323	42.829605	1573
0.271987	42.829361	1582
0.270893	42.829143	1591
0.271628	42.829468	1600
0.272685	42.830078	1609
0.273497	42.830452	1619
0.272263	42.83012	1627
0.271055	42.829891	1636
0.270063	42.829948	1645
0.271567	42.830337	1653
0.271465	42.830898	1661
0.2702	42.830444	1671
0.269567	42.830795	1681
0.270445	42.831356	1690
0.27082	42.831642	1699
0.26955	42.831528	1707
0.268692	42.83091	1717
0.267858	42.830234	1726
0.266685	42.830036	1736
0.265725	42.83025	1745
0.26705	42.830544	1753
0.266443	42.830696	1763
0.265297	42.830925	1772
0.264225	42.831306	1780
0.263692	42.831444	1789
0.264778	42.831867	1798
0.265922	42.832104	1806
0.266905	42.832642	1815
0.268083	42.833	1824
0.268142	42.833439	1833
0.266823	42.833446	1841
0.265607	42.833317	1850
0.264357	42.833374	1860
0.263055	42.833473	1868
0.261765	42.833706	1878
0.260502	42.833618	1887
0.25921	42.833332	1897
0.257852	42.83308	1904
0.256662	42.832527	1913
0.255217	42.832626	1922
0.253398	42.832851	1931
0.251287	42.833496	1937
0.249642	42.834572	1944
0.248137	42.834804	1953
0.24709	42.834351	1963
0.245942	42.834587	1973
0.244695	42.834682	1982
0.243462	42.834927	1992
0.242305	42.835133	2001
0.241253	42.834881	2010
0.241812	42.835392	2019
0.24067	42.835285	2027
0.239433	42.83461	2036
0.238945	42.834366	2043
0.239368	42.832317	2053
0.239978	42.831444	2063
0.240832	42.830673	2073
0.24048	42.830639	2082
0.239453	42.831177	2093
0.238538	42.831837	2103
0.237553	42.83239	2113
0.236965	42.833267	2121
0.236177	42.832935	2129
0.235825	42.832787	2210
0.236918	42.833286	2211
0.23936	42.831226	2185
0.240547	42.83099	2158
0.238755	42.834171	2126
0.241795	42.835377	2105
0.243748	42.834854	2082
0.248027	42.834759	2043
0.251972	42.833275	2019
0.256437	42.832512	2003
0.261595	42.833698	1971
0.266985	42.833454	1930
0.266667	42.832554	1903
0.26358	42.831112	1872
0.267328	42.830746	1842
0.266565	42.83007	1824
0.269642	42.831615	1799
0.269858	42.831192	1774
0.272137	42.830704	1745
0.270902	42.829914	1724
0.272845	42.830143	1698
0.272312	42.829395	1669
0.273703	42.829468	1645
0.270325	42.828167	1620
0.266953	42.826824	1596
0.26454	42.826073	1575
0.26371	42.826107	1582
0.263023	42.826073	1588
0.262295	42.826122	1595
0.261637	42.826309	1601
